timestamp,track_id,confidence,event
2026-03-09 23:54:53,40,0.7171367406845093,intruder_alert
2026-03-09 23:56:37,40,0.7171367406845093,intruder_alert
2026-03-10 00:08:16,40,0.7171367406845093,intruder_alert
2026-03-10 12:20:41,40,0.7171367406845093,day_detection
2026-03-10 12:23:21,40,0.7171367406845093,day_detection
2026-03-10 12:29:04,40,0.7171367406845093,day_detection
2026-03-10 12:45:25,40,0.7171367406845093,day_detection
2026-03-10 12:45:45,69,0.6919865608215332,day_detection
2026-03-10 12:47:03,40,0.7171367406845093,day_detection
2026-03-10 12:48:39,40,0.7171367406845093,day_detection
2026-03-10 14:05:49,40,0.7171367406845093,day_detection
2026-03-10 14:14:41,20,0.652247428894043,day_detection
2026-03-10 14:15:10,140,0.6030651330947876,day_detection
2026-03-10 14:15:30,337,0.6013025641441345,day_detection
2026-03-10 14:15:51,393,0.6623138785362244,day_detection
2026-03-10 14:16:11,470,0.708003580570221,day_detection
2026-03-10 14:16:32,674,0.6236143112182617,day_detection
2026-03-10 14:16:52,993,0.6838901042938232,day_detection
2026-03-10 14:17:13,1253,0.6324234008789062,day_detection
2026-03-10 14:17:36,1349,0.758563220500946,day_detection
2026-03-10 14:18:05,1420,0.6338197588920593,day_detection
2026-03-10 14:18:29,1995,0.6866718530654907,day_detection
2026-03-10 14:18:49,2160,0.7282981872558594,day_detection
2026-03-10 14:19:28,2655,0.605750322341919,day_detection
2026-03-10 14:19:48,2871,0.6694368124008179,day_detection
2026-03-10 14:20:10,3057,0.6137837767601013,day_detection
2026-03-10 14:20:31,3057,0.6320222616195679,day_detection
2026-03-10 14:20:52,3057,0.6186316609382629,day_detection
2026-03-10 14:21:12,3057,0.617027759552002,day_detection
2026-03-10 14:21:32,3822,0.600894033908844,day_detection
2026-03-10 14:21:52,3057,0.729345440864563,day_detection
2026-03-10 14:22:12,4121,0.7828218936920166,day_detection
2026-03-10 14:22:33,4175,0.6337213516235352,day_detection
2026-03-10 14:22:55,4385,0.7544398903846741,day_detection
2026-03-10 14:23:15,4430,0.6588146090507507,day_detection
2026-03-10 14:29:06,4485,0.6607006192207336,day_detection
2026-03-10 14:29:27,4621,0.6537561416625977,day_detection
2026-03-10 14:29:53,4737,0.6278750896453857,day_detection
2026-03-10 14:30:14,4914,0.679935872554779,day_detection
2026-03-10 14:30:45,5063,0.6407805681228638,day_detection
2026-03-10 14:31:05,5148,0.6704605221748352,day_detection
2026-03-10 14:31:27,5399,0.635327935218811,day_detection
2026-03-10 14:31:48,5514,0.7168720364570618,day_detection
2026-03-10 14:32:11,5667,0.6652379631996155,day_detection
2026-03-10 14:32:44,5742,0.6214039921760559,day_detection
2026-03-10 14:33:07,5784,0.6490818858146667,day_detection
2026-03-10 14:33:30,5876,0.630695641040802,day_detection
2026-03-10 14:33:50,6000,0.6588014364242554,day_detection
2026-03-10 14:34:13,6094,0.6089770793914795,day_detection
2026-03-10 14:55:20,6158,0.7790299654006958,day_detection
2026-03-10 14:55:40,6201,0.7525031566619873,day_detection
2026-03-10 23:26:46,20,0.652247428894043,intruder_alert
2026-03-10 23:27:07,77,0.6422851085662842,intruder_alert
2026-03-10 23:27:29,260,0.6539223194122314,intruder_alert
2026-03-10 23:27:50,361,0.6243966817855835,intruder_alert
2026-03-11 00:02:52,20,0.652247428894043,intruder_alert
2026-03-11 00:03:13,77,0.6422851085662842,intruder_alert
2026-03-11 00:03:35,260,0.6539223194122314,intruder_alert
2026-03-11 23:17:41,20,0.652247428894043,intruder_alert
2026-03-11 23:18:01,77,0.6422851085662842,intruder_alert
